"root file-converter.org","url https://file-converter.org/","UR ","DR ","AR ","RD ","rddf ","KW ","Traffic ","notes ","operations convert"
"compress2go.com","https://www.compress2go.com/","23","55","476,521","","","70,621","1,607,627","",""
"gotenberg.dev","https://gotenberg.dev/","23","46","1,087,486","","","2,228","1,007","",""
"fileviewerplus.com","https://fileviewerplus.com/","32","39","2,005,140","","","2,549","2,333","file types",""
"extensionfile.net","https://extensionfile.net/","20","63","222,260","","","8,712","336","file types",""
"tableconvert.com","https://tableconvert.com/","32","55","455,377","","","21,061","21,046","",""
"fileproinfo.com","https://fileproinfo.com/","25","55","485,630","","","12,263","866","file types",""
"imagesmaller.com","https://imagesmaller.com","1","61","261,815","","","","","",""
"compress-or-die.com","https://compress-or-die.com","20","50","743,426","","","11,735","20,985","",""
"smallpdf.com","https://smallpdf.com/","46","83","8,513","","","694,764","55,641,064","nice menu",""
"mp4.to","https://mp4.to","6","35","2,860,719","","","1","","",""
"asawicki.info","https://asawicki.info","12","38","2,249,249","","","1,575","6,752","",""
"online-convert.com","https://www.online-convert.com/","45","79","17,597","","","64,449","427,705","","convert"
"anyconv.com","https://anyconv.com","29","60","310,473","","","56,466","130,560","",""
"smallseotools.com","https://smallseotools.com/","37","83","7,886","","","371,563","5,398,830","",""
"wordcounter.net","https://wordcounter.net/our-tools","2","74","45,305","","","1,752","58,489","",""
"img2go.com","https://img2go.com","12","69","130,626","","","","","",""
"xconvert.com","https://www.xconvert.com/","25","57","390,383","","","155,116","187,197","",""
"jsonpath.curiousconcept.com","https://jsonpath.curiousconcept.com/","20","74","49,403","","","260","4,796","",""
"imagecompressor.com","https://imagecompressor.com","42","80","13,431","","","26,926","696,803","",""
"containerize.com","https://www.containerize.com/","29","50","771,419","","","7","2","file types, apis and maybe free open source code for these small tools",""
"conholdate.com","https://www.conholdate.com/","21","27","7,025,089","","","","","file types, apis and maybe free open source code for these small tools",""
"ezyzip.com","https://ezyzip.com","10","51","699,789","","","","","",""
"webm.to","https://webm.to","1","38","2,208,849","","","","","",""
"sodapdf.com","https://www.sodapdf.com/","39","77","27,193","","","98,359","1,710,797","",""
"aspose.cloud","https://www.aspose.cloud/","25","56","429,723","","","36","27","file types, apis and maybe free open source code for these small tools",""
"openmyfiles.com","https://www.openmyfiles.com/","5","32","3,795,202","","","5,078","685","file types, apis and maybe free open source code for these small tools",""
"zamzar.com","https://www.zamzar.com/","49","77","24,166","","","148,407","1,126,418","",""
"conholdate.app","https://www.conholdate.app/","15","31","4,197,847","","","3","233","file types, apis and maybe free open source code for these small tools",""
"movtomp4.com","https://movtomp4.com","8","8","29,616,675","","","985","749","",""
"diffchecker.com","https://www.diffchecker.com/","38","74","45677","","","14372","586982","",""
"123apps.com","https://123apps.com/","32","72","84,399","","","57,055","161,488","** one of the best references for design and UI",""
"simpleimageresizer.com","https://www.simpleimageresizer.com/","30","64","214,680","","","87,108","1,176,195","",""
"freefileconvert.com","https://freefileconvert.com","12","46","1,085,856","","","","","",""
"jsonformatter.curiousconcept.com","https://jsonformatter.curiousconcept.com/","38","74","49,403","","","5,016","346,410","",""
"combinepdf.com","https://combinepdf.com/","31","59","338,657","","","21,698","1,104,687","",""
"imgupscaler.com","https://imgupscaler.com/","40","53","585,990","","","7,422","850,547","",""
"onlineconvertfree.com","https://onlineconvertfree.com","36","66","179,183","","","60,689","50,362","",""
"atatus.com","https://www.atatus.com/tools/free-tools","0","59","326,103","","","","","clean and simple design, good start to copy. good amount of content on singles too.",""
"file.org","https://file.org/","17","48","919,982","","","32,908","8,562","file types",""
"safetoconvert.com","https://safetoconvert.com/","12","7","34,206,623","","","584","119","",""
"2ip.io","https://2ip.io/","30","66","173,915","","","17,408","243,982","nice design!",""
"file-extension.info","https://www.file-extension.info/","11","35","2,911,120","","","9,328","228","file types",""
"filemagic.com","https://www.filemagic.com/en/","25","34","3,367,949","","","3,251","128","file types",""
"videocandy.com","https://videocandy.com","31","48","952,751","","","37,458","169,424","",""
"compresspng.com","https://compresspng.com","33","73","58,653","","","25,320","280,311","",""
"kodytools.com","https://www.kodytools.com/","16","33","3,754,233","","","61","7","lots of tools, nice top level categories",""
"zyro.com","https://zyro.com/","34","84","6,678","","","1","1,065","",""
"veed.io","https://veed.io","39","83","7,639","","","2","","",""
"youcompress.com","https://youcompress.com","4","57","396,141","","","","","",""
"file-extension.org","https://www.file-extension.org/","11","19","12,223,569","","","5,002","28","file types",""
"codeporting.com","https://www.codeporting.com/","30","27","6,349,407","","","270","109","file types, apis and maybe free open source code for these small tools",""
"gigacalculator.com","https://www.gigacalculator.com/","34","71","96,230","","","409,733","919,625","",""
"kapwing.com","https://www.kapwing.com/","45","78","19,445","","","499,519","1,523,219","",""
"theonlineconverter.com","https://theonlineconverter.com/","23","56","415,534","","","36,618","47,862","",""
"datatypes.net","https://datatypes.net/","6","14","17,762,397","","","265","","file types",""
"pdfcompressor.com","https://pdfcompressor.com","30","66","169,820","","","7,430","178,489","",""
"mconverter.eu","https://mconverter.eu","27","47","972,505","","","35,543","66,894","",""
"converter.app","https://converter.app","20","54","519,874","","","53,472","108,047","","convert"
"onlinetools.com","https://onlinetools.com","23","60","301,519","","","19,761","36,051","",""
"pdfconverter.com","https://www.pdfconverter.com/","22","49","847,167","","","1","","clone site for ilovepdf.com",""
"docs.fileformat.com","https://docs.fileformat.com/","29","71","97,037","","","49,317","72,630","file types",""
"freeconvert.com","https://www.freeconvert.com/","32","74","45,956","","","388,060","11,774,912","awesome OVERLAY on dropzone when mouseover with file in hand; great ideas for categorization (and prolly keywords) by looking at their breadcrumbs",""
"pdf2go.com","https://www.pdf2go.com/","33","73","66,790","","","237,315","3,379,596","",""
"watermarkly.com","https://watermarkly.com/","30","69","136,496","","","116,975","281,130","",""
"evano.com","https://evano.com","21","56","446,370","","","24,113","64,219","",""
"fileformat.com","https://www.fileformat.com/","13","71","97,037","","","203","319","file types",""
"toolbaz.com","https://toolbaz.com/","26","53","600,432","","","38,974","194,565","",""
"aconvert.com","https://aconvert.com","14","73","56,674","","","","","",""
"codebeautify.org","https://codebeautify.org/","29","77","26,460","","","71,210","398,598","good job of putting content on the single",""
"smodin.io","https://smodin.io","40","69","134,860","","","120,549","735,265","",""
"goonlinetools.com","https://goonlinetools.com/","14","54","527,827","","","25,856","149,152","best layout for singles content",""
"videosmaller.com","https://videosmaller.com","9","62","249,636","","","","","",""
"coderstool.com","https://www.coderstool.com/","15","31","4,212,093","","","10,729","6,981","like beautifytools, but slightly better design; very simple design ",""
"tinyjpg.com","https://tinyjpg.com/","43","81","11,705","","","17,465","84,367","",""
"filetypeadvisor.com","https://www.filetypeadvisor.com/","8","33","3,580,340","","","10,400","456","file types",""
"groupdocs.com","https://www.groupdocs.com/","27","54","517,462","","","","","file types, apis and maybe free open source code for these small tools",""
"tinywow.com","https://tinywow.com/","42","67","158,752","","","82,681","418,988","",""
"cloudconvert.com","https://cloudconvert.com/","","","","","","","","","convert"
"avepdf.com","https://avepdf.com/","20","44","1,285,692","","","70,729","210,596","",""
"audio-convert.com","https://audio-convert.com","13","25","8,333,283","","","5,476","848","","convert"
"freefileconvert.com","https://www.freefileconvert.com/","","","","","","","","","convert"
"bearaudiotool.com","https://bearaudiotool.com","7","43","1,388,624","","","372","44","",""
"groupdocs.app","https://www.groupdocs.app/","21","55","462,807","","","5","829","file types, apis and maybe free open source code for these small tools",""
"convertio.co","https://convertio.co/","","","","","","","","","convert"
"cssportal.com","https://www.cssportal.com/","21","70","115,034","","","9,465","11,005","simple easy to design layout nice.",""
"catonmat.net","https://catonmat.net/tools","5","72","83,259","","","5,417","11,752","",""
"freeformatter.com","https://freeformatter.com/","12","77","26,896","","","3","1","",""
"text-compare.com","https://text-compare.com/","28","50","739552","","","3847","392867","",""
"aspose.app","https://www.aspose.app/","21","68","145,720","","","44","8,523","file types, apis and maybe free open source code for these small tools",""
"json2csharp.com","https://json2csharp.com/","31","49","828,628","","","6,792","20,691","",""
"fileformat.app","https://www.fileformat.app/","16","35","2,889,450","","","339","274","file types, apis and maybe free open source code for these small tools",""
"onlinestringtools.com","https://onlinestringtools.com/","9","39","2,027,147","","","3,941","13,346","",""
"openthefile.net","https://openthefile.net/","2","44","1,322,232","","","1,371","13","file types",""
"ilovepdf.com","https://www.ilovepdf.com/","47","81","10,611","","","765,478","153,809,223","clone site for iloveimg.com",""
"freepdfconvert.com","https://www.freepdfconvert.com/","38","73","62,344","","","137,068","4,651,139","nice dropzone animations",""
"random.org","https://www.random.org","57","83","7,982","","","69,618","1,906,000","",""
"tinypng.com","https://tinypng.com","56","90","1,965","","","39,330","306,097","",""
"filext.com","https://filext.com/","37","69","134,338","","","64,887","36,474","file types",""
"pdfcandy.com","https://pdfcandy.com/","37","70","110,204","","","143,929","1,867,862","nice linkhub at bottom; nice design on singles (they are like landers almost)",""
"smalldev.tools","https://smalldev.tools/","17","30","5,052,565","","","2,270","4,887","",""
"docfly.com","https://docfly.com","5","60","296,708","","","","","",""
"go-transcribe.com","https://go-transcribe.com","13","28","6,249,150","","","2,605","10,575","",""
"convertfiles.com","https://convertfiles.com","17","59","331,429","","","","","","convert"
"conholdate.cloud","https://www.conholdate.cloud/","23","20","11,199,063","","","3","","file types, apis and maybe free open source code for these small tools",""
"cloudconvert.com","https://cloudconvert.com/","46","81","10,820","","","200,588","10,414,431","",""
"jsonformatter.org","https://jsonformatter.org/","33","74","54,155","","","25,354","1,162,667","",""
"compressjpeg.com","https://compressjpeg.com","38","78","19,643","","","32,791","1,881,971","",""
"sassbook.com","https://sassbook.com/","26","43","1,454,410","","","1,575","1,085","",""
"fileinfo.com","https://fileinfo.com/","33","76","35,716","","","33,593","29,710","the file format database",""
"techterms.com","https://techterms.com/","30","80","15,048","","","50,827","34,287","",""
"iloveimg.com","https://www.iloveimg.com/","38","80","15,000","","","343,901","12,879,292","",""
"beautifytools.com","https://beautifytools.com/","13","53","561,431","","","1,107","7,818","nice design thats super simple",""
"freeconvert.com","https://www.freeconvert.com/","","","","","","","","","convert"
"groupdocs.cloud","https://www.groupdocs.cloud/","17","31","4,290,076","","","1","","file types, apis and maybe free open source code for these small tools",""
"flixier.com","flixier.com/tools","","","","","","","","","all"
"https://goonlinetools.com/","","","","","","","","","",""