"Main Modifiers","Synonyms","Semantic match","","Secondary Modifiers","","Topics","","Patterns"
"convert","","","","to","","File Types","","how to open <> filetype"
"compress","shrink","","","free","","","",""
"combine","merge","","","online","","","",""
"generate","generator","","","mac, on mac","","","",""
"clean","format","","","","","","",""
"format","","","","","","","",""
"open","unzip, extract","","","","","","",""
"extract","extractor","","","","","","",""
"uncompress","decompress","","","","","","",""
"file","file extension","","","","","","",""
"import","","","","","","","",""